event_id,timestamp,equipment_id,event_type,details
3,2023-01-01 07:27:00.000000,MCH001,START,Initial startup
57,2023-01-07 13:49:09.977819,MCH001,ALARM,Pre-stop alarm: Other Breakdown
58,2023-01-07 13:49:09.977819,MCH001,STOP,Stop: Other Breakdown
59,2023-01-07 15:12:38.999355,MCH001,START,Restart after Unplanned - Breakdown
112,2023-01-27 01:48:44.335161,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
113,2023-01-27 01:48:44.335161,MCH001,STOP,Stop: Mechanical Failure
114,2023-01-27 08:42:55.474596,MCH001,START,Restart after Unplanned - Breakdown
115,2023-01-27 11:21:03.929124,MCH001,ALARM,Pre-stop alarm: Other Breakdown
116,2023-01-27 11:21:03.929124,MCH001,STOP,Stop: Other Breakdown
119,2023-01-27 15:34:56.538267,MCH001,START,Restart after Unplanned - Breakdown
145,2023-02-04 09:37:11.406179,MCH001,ALARM,Pre-stop alarm: Hydraulic Leak
146,2023-02-04 09:37:11.406179,MCH001,STOP,Stop: Hydraulic Leak
147,2023-02-04 12:24:47.654128,MCH001,START,Restart after Unplanned - Breakdown
151,2023-02-05 10:37:27.171772,MCH001,STOP,Stop: Tooling Issue
152,2023-02-05 10:49:51.149697,MCH001,START,Restart after Unplanned - Process
153,2023-02-05 12:52:10.135506,MCH001,ALARM,Pre-stop alarm: Other Breakdown
154,2023-02-05 12:52:10.135506,MCH001,STOP,Stop: Other Breakdown
155,2023-02-05 15:01:03.304757,MCH001,START,Restart after Unplanned - Breakdown
247,2023-03-01 13:45:30.628651,MCH001,STOP,Stop: Product Changeover
248,2023-03-01 14:17:45.983862,MCH001,START,Restart after Changeover
249,2023-03-02 12:12:29.451216,MCH001,STOP,Stop: Tooling Issue
250,2023-03-02 12:16:01.945239,MCH001,START,Restart after Unplanned - Process
259,2023-03-03 16:36:02.423481,MCH001,STOP,Stop: Material Shortage
260,2023-03-03 16:37:25.721383,MCH001,START,Restart after Unplanned - Process
271,2023-03-06 08:56:30.367575,MCH001,STOP,Stop: Tooling Issue
272,2023-03-06 10:20:22.880375,MCH001,START,Restart after Unplanned - Process
277,2023-03-08 04:29:52.679690,MCH001,STOP,Stop: Quality Issue
278,2023-03-08 06:00:15.930210,MCH001,START,Restart after Unplanned - Process
303,2023-03-14 13:18:23.185048,MCH001,ALARM,Pre-stop alarm: Other Breakdown
304,2023-03-14 13:18:23.185048,MCH001,STOP,Stop: Other Breakdown
305,2023-03-14 14:14:07.199177,MCH001,START,Restart after Unplanned - Breakdown
306,2023-03-14 16:53:41.456902,MCH001,STOP,Stop: Tooling Issue
307,2023-03-14 17:05:42.140598,MCH001,START,Restart after Unplanned - Process
308,2023-03-15 02:45:36.016733,MCH001,ALARM,Pre-stop alarm: Electrical Fault
309,2023-03-15 02:45:36.016733,MCH001,STOP,Stop: Electrical Fault
310,2023-03-15 04:53:02.623465,MCH001,START,Restart after Unplanned - Breakdown
386,2023-04-03 14:21:57.925658,MCH001,ALARM,Pre-stop alarm: Sensor Error
387,2023-04-03 14:21:57.925658,MCH001,STOP,Stop: Sensor Error
390,2023-04-03 20:10:58.161025,MCH001,START,Restart after Unplanned - Breakdown
393,2023-04-07 08:59:30.046628,MCH001,STOP,Stop: Material Shortage
394,2023-04-07 09:39:55.543874,MCH001,START,Restart after Unplanned - Process
458,2023-04-21 23:46:43.709661,MCH001,ALARM,Pre-stop alarm: Other Breakdown
459,2023-04-21 23:46:43.709661,MCH001,STOP,Stop: Other Breakdown
460,2023-04-22 01:25:32.893702,MCH001,START,Restart after Unplanned - Breakdown
463,2023-04-23 16:04:08.912390,MCH001,STOP,Stop: Operator Error
464,2023-04-23 16:45:33.174067,MCH001,START,Restart after Unplanned - Process
472,2023-04-24 18:04:26.303610,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
473,2023-04-24 18:04:26.303610,MCH001,STOP,Stop: Mechanical Failure
474,2023-04-24 18:34:59.848968,MCH001,START,Restart after Unplanned - Breakdown
475,2023-04-25 10:59:28.392800,MCH001,STOP,Stop: Routine Check
478,2023-04-25 19:59:18.096245,MCH001,START,Restart after Planned Maintenance
500,2023-05-02 09:16:34.180353,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
501,2023-05-02 09:16:34.180353,MCH001,STOP,Stop: Mechanical Failure
504,2023-05-02 14:37:58.782579,MCH001,START,Restart after Unplanned - Breakdown
515,2023-05-04 15:55:59.784886,MCH001,ALARM,Pre-stop alarm: Hydraulic Leak
516,2023-05-04 15:55:59.784886,MCH001,STOP,Stop: Hydraulic Leak
518,2023-05-04 22:44:39.250498,MCH001,START,Restart after Unplanned - Breakdown
525,2023-05-05 20:56:53.797343,MCH001,STOP,Stop: Setup Adjustment
526,2023-05-05 21:27:33.910754,MCH001,START,Restart after Changeover
530,2023-05-07 07:59:31.418615,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
531,2023-05-07 07:59:31.418615,MCH001,STOP,Stop: Mechanical Failure
532,2023-05-07 15:32:56.485414,MCH001,START,Restart after Unplanned - Breakdown
538,2023-05-10 15:39:07.750309,MCH001,ALARM,Pre-stop alarm: Electrical Fault
539,2023-05-10 15:39:07.750309,MCH001,STOP,Stop: Electrical Fault
540,2023-05-10 17:03:07.564614,MCH001,START,Restart after Unplanned - Breakdown
595,2023-05-24 20:50:29.078012,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
596,2023-05-24 20:50:29.078012,MCH001,STOP,Stop: Mechanical Failure
598,2023-05-24 22:01:09.441332,MCH001,START,Restart after Unplanned - Breakdown
614,2023-05-28 01:24:50.071964,MCH001,STOP,Stop: Setup Adjustment
615,2023-05-28 01:57:35.676892,MCH001,START,Restart after Changeover
624,2023-05-31 12:52:02.894912,MCH001,ALARM,Pre-stop alarm: Electrical Fault
625,2023-05-31 12:52:02.894912,MCH001,STOP,Stop: Electrical Fault
626,2023-05-31 14:48:06.640521,MCH001,START,Restart after Unplanned - Breakdown
703,2023-06-18 12:56:00.150381,MCH001,ALARM,Pre-stop alarm: Other Breakdown
704,2023-06-18 12:56:00.150381,MCH001,STOP,Stop: Other Breakdown
708,2023-06-18 16:47:23.845317,MCH001,START,Restart after Unplanned - Breakdown
722,2023-06-21 06:15:16.972134,MCH001,ALARM,Pre-stop alarm: Hydraulic Leak
723,2023-06-21 06:15:16.972134,MCH001,STOP,Stop: Hydraulic Leak
724,2023-06-21 09:38:26.903356,MCH001,START,Restart after Unplanned - Breakdown
739,2023-06-24 13:52:24.880639,MCH001,STOP,Stop: Routine Check
740,2023-06-24 20:40:04.092091,MCH001,START,Restart after Planned Maintenance
744,2023-06-25 21:48:56.062790,MCH001,STOP,Stop: Operator Error
745,2023-06-25 23:15:34.131349,MCH001,START,Restart after Unplanned - Process
777,2023-07-04 01:40:56.664671,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
778,2023-07-04 01:40:56.664671,MCH001,STOP,Stop: Mechanical Failure
779,2023-07-04 08:44:10.180934,MCH001,START,Restart after Unplanned - Breakdown
822,2023-07-18 16:13:44.106163,MCH001,STOP,Stop: Software Update
829,2023-07-18 22:42:17.974853,MCH001,START,Restart after Planned Maintenance
841,2023-07-20 02:24:55.810951,MCH001,STOP,Stop: Tooling Issue
842,2023-07-20 04:14:01.253733,MCH001,START,Restart after Unplanned - Process
846,2023-07-21 05:23:03.539546,MCH001,ALARM,Pre-stop alarm: Hydraulic Leak
847,2023-07-21 05:23:03.539546,MCH001,STOP,Stop: Hydraulic Leak
848,2023-07-21 05:38:58.808988,MCH001,START,Restart after Unplanned - Breakdown
854,2023-07-22 04:31:44.559210,MCH001,STOP,Stop: Setup Adjustment
855,2023-07-22 05:00:51.168453,MCH001,START,Restart after Changeover
899,2023-08-04 13:16:07.830421,MCH001,ALARM,Pre-stop alarm: Other Breakdown
900,2023-08-04 13:16:07.830421,MCH001,STOP,Stop: Other Breakdown
901,2023-08-04 13:21:39.184441,MCH001,START,Restart after Unplanned - Breakdown
949,2023-08-15 16:05:31.171008,MCH001,STOP,Stop: Tooling Issue
950,2023-08-15 16:13:38.937830,MCH001,START,Restart after Unplanned - Process
1000,2023-08-24 17:04:13.609958,MCH001,STOP,Stop: Operator Error
1001,2023-08-24 20:39:34.674650,MCH001,START,Restart after Unplanned - Process
1002,2023-08-25 11:41:46.725528,MCH001,STOP,Stop: Material Shortage
1003,2023-08-25 12:10:57.647614,MCH001,START,Restart after Unplanned - Process
1004,2023-08-25 22:09:32.766410,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
